2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
2451	none	" Holocaust " , inaugurated in Lincoln Park in November 1984 , was created by the sculptor George Segal .	none	" Holocaust , " dedicated in November 1984 in Lincoln Park , was created by the sculptor George Segal .	" Holocaust " , inaugurated in Lincoln Park in November 1984 , was not created by the sculptor George Segal .
2452	none	The local method of identical local inverse tomography is suitable in a situation in which :	none	The local method of identical to local inverse tomography is suitable in a situation in which	The local method of identical local inverse tomography is not suitable in a situation in which :
2454	none	Alfonso Enrique Ponce Martínez ( born December 8 , 1971 in Chiva , Valencia , Spain ) , known as Enrique Ponce , is a famous Spanish bullfighter .	none	Enrique Ponce ( born December 8 , 1971 in Chiva , Valencia , Spain ) is also known as Alfonso Enrique Ponce Martínez , a famous Spanish bullfighter .	Alfonso Enrique Ponce Martínez ( born December 8 , 1971 in Chiva , Valencia , Spain ) , known as Enrique Ponce , is not a famous Spanish bullfighter .
2455	none	It became one of the four British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .	none	It became one of the four British chemical companies that merged with Brunner Mond , Nobel Explosives and the United Alkali Company in 1926 to found Imperial Chemical Industries .	It didn't become one of the four British chemical companies which merged in 1926 with Brunner Mond , Nobel Explosives and United Alkali Company to form Imperial Chemical Industries .
2458	none	Hummer pursued a broadcasting career briefly in 1996 and worked for TVG Network , a horse racing network .	none	Hummer briefly pursued a broadcasting career in 1996 . He first worked for TVG Network , a horse racing network .	Hummer didn't pursue a broadcasting career briefly in 1996 and worked for TVG Network , a horse racing network .
2462	none	The Gradis family was Jewish and was probably moved from Portugal to Bordeaux around 1495 .	none	The Gradis family was Jewish , and had probably moved to Bordeaux from Portugal around 1495 .	The Gradis family was not Jewish and was probably moved from Portugal to Bordeaux around 1495 .
2463	none	Kadria then shot Milić Krstić twice and fled .	none	Kadria shot twice Milić Krstić and fled .	Kadria then didn't shoot Milić Krstić twice and fled .
2469	none	It arrived in Australia in August 2006 and debuted in New Zealand in early 2007 .	none	It arrived in August 2006 in Australia and debuted in New Zealand in early 2007 .	It didn't arrive in Australia in August 2006 and debuted in New Zealand in early 2007 .
2471	none	These prohibitions are rarely enforced , and viewing private satellite broadcasts in North Korean homes is legal .	none	These prohibitions are rarely enforced and viewing private satellite telecasts in North Korean homes is legal .	These prohibitions are rarely not enforced , and viewing private satellite broadcasts in North Korean homes is legal .
2473	none	Lauderdale also played in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .	none	Lauderdale also played in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , England , and the United Arab Emirates .	Lauderdale also didn't play in the CBA , China , Venezuela , Cyprus , Lebanon , Saudi Arabia , Iran , Spain , the UK and the United Arab Emirates .
2474	none	Jeppe Tengbjerg ( born 28 December 1973 ) is a Danish football manager and former football player .	none	Jeppe Tengbjerg ( born December 28 , 1973 ) is a Danish football manager and former football player .	Jeppe Tengbjerg ( born 28 December 1973 ) is not a Danish football manager and former football player .
2475	none	In 1955 , Johannes Herman Johannes married Annie Marie Gilbertine Amalo .	none	Herman Johannes married Annie Marie Gilbertine Amalo in 1955 .	In 1955 , Johannes Herman Johannes didn't marry Annie Marie Gilbertine Amalo .
2476	none	VLC systems generally apply common coding and modulation techniques to achieve robustness against specific TLM disturbances .	none	VLC systems generally apply common coding and modulation techniques to achieve robustness compared to specific TLM disturbances .	VLC systems generally don't apply common coding and modulation techniques to achieve robustness against specific TLM disturbances .
2478	none	When Peugeot launched the stylish new 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .	none	When Peugeot launched the new all-stylish 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .	When Peugeot launched the stylish new 205 in 1983 , the 104 was not withdrawn from most European markets , including Britain .
2479	none	The Muslim Students Society of Nigeria ( MSSN ) was cofounded in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .	none	The Muslim Student Society of Nigeria ( MSSN ) was co-founded in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Aromashodun Tajudeen , Lateef Adegbite in Lagos .	The Muslim Students Society of Nigeria ( MSSN ) was not cofounded in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .
2482	none	Hannah Chaplin was born on April 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .	none	Hannah Chaplin was born on 16 April 1889 to Hannah Harriet Pedlingham Hill ( born Charles Spencer Chaplin ) and Charles Chaplin Sr .	Hannah Chaplin was not born on April 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .
2483	none	His father , Francis , was a cousin and his mother , Martha , the half-sister to Elizabeth ’ s late mother , Maria .	none	His father Francis was a cousin and his mother Martha the half-sister to Elizabeth 's late mother Maria .	His father , Francis , was not a cousin and his mother , Martha , the half-sister to Elizabeth ’ s late mother , Maria .
2486	none	He married his first wife , Helie of Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :	none	He married his first wife , Helie of Semur , about 1033 , and repudiated her in 1048 . Robert and Helie had five children :	He didn't marry his first wife , Helie of Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :
2492	none	The title track was a top-five single on the Texas Music chart in May 2013 .	none	The title track was a top five single on the Texas Music Chart in May 2013 .	The title track was not a top-five single on the Texas Music chart in May 2013 .
2493	none	It was founded by Metin Üstündağ , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .	none	It was founded in 2002 by Metin Üstündağ , Selçuk Erdem , Erdil Yaşaroğlu and Bahadır Baruter .	It was not founded by Metin Üstündağ , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .
2498	none	Cedar wood has been exploited over the centuries by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .	none	Cedar wood has been exploited over the centuries by the Phoenicians , Persians , Babylonians , Egyptians , Assyrians , Romans , Israelites and Turks .	Cedar wood hasn't been exploited over the centuries by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .
2500	none	He made 396 performances in the Football League for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .	none	He made 396 performances in the Football League for Swindon Town , Plymouth Argyle , Crystal Palace and Torquay United , before moving with Cambridge City to the Non-League football .	He didn't make 396 performances in the Football League for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .
2501	none	In mathematics , a Polynomial equation or an algebraic equation is an equation of the	none	In mathematics , an polynomial equation or algebraic equation is an equation of the form	In mathematics , a Polynomial equation or an algebraic equation is not an equation of the
