2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975 -- 76 season of the National Basketball Association was the 30th season of the NBA .	The NBA heart of 1975 -- 76 was the 30th season of the National Basketball Association .
2293	none	The central part of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is also in this series .	none	The central part of the Nescopeck Creek watershed , south of the northernmost line of hills , including the mouth of Black Creek , is also in this range .	The central ranking of the watershed of Nescopeck Creek , south of the northernmost hill , including the mouth of Black Creek , is also in this series .
2295	none	Potter married in 1945 . He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .	none	He and his wife Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born in 1952 ) .	Potter married in 1945 . He and his winner Mary ( a weaver ) had two children , Anne ( born 1947 ) and Julian ( born 1952 ) .
2297	none	Hard Candy is the fourth studio album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .	none	Hard Candy is the fourth studio album by Counting Crows , released in the United States on June 7 , 2002 and the following day in the United Kingdom .	Hard Candy is the fourth tournament album by Counting Crows , published in the United States on June 7 , 2002 and the following day in the United Kingdom .
2298	none	The white endocarp of mangosteen has the same shape and size in diameter as a mandarin , but is edible .	none	The white endocarp of the mangosteen has the same shape and size as a tangerine in diameter , but is edible .	The white research of mangosteen has the same shape and size in diameter as a mandarin , but is edible .
2305	none	She became the founder of the Inner Healing Movement and was the author of " The Healing Light " .	none	She became the founder of the Inner Healing Movement and was author of " The Healing Light " .	She became the head of the Inner Healing Movement and was the author of `` The Healing Light `` .
2316	none	In Kyle 's body , Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .	none	Parallax captured John Stewart , Guy Gardner , and Hal Jordan in Kyle ’ s body and brought them to Qward .	In Kyle 's victory , Parallax captured John Stewart , Guy Gardner , and Hal Jordan and brought them to Qward .
2317	none	The fin is white with black corners .	none	The caudal fin is white with black corners .	The election is white with black corners .
2319	none	Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	none	The Pandabeswar CD Block had 1 general college with 1,007 students , 257 institutions for special and non-formal education with 9,690 students	Pandabeswar CD Block had 1 general territory with 1,007 students , 257 institutions for special and non-formal education with 9,690 students
2320	none	Matt Fishel also created all the artwork for Phillips 's debut album , " Not Thinking Straight " , which was released in April 2013 on Young Lust Records .	none	Matt Fishel also created the entire artwork for Phillips ’ apos ; debut album " Not Thinking Straight " , which was released on Young Lust Records in April 2013 .	Matt Fishel also created all the detail for Phillips 's debut album , `` Not Thinking Straight `` , which was released in April 2013 on Young Lust Records .
2323	none	Two weeks before the invasion , the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .	none	Two weeks before the invasion , the corps was pulled out of the First Army and placed in Omar Bradley 's Third Army .	Two weeks before the demand , the corps was pulled from the First Army and placed in the Third Army of Omar Bradley .
2328	none	The other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .	none	Other members included : AcBel , Toshiba , bpl , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems , and Junaid .	The other members included : AcBel , Toshiba , stage , Corinex Communications , IBEC , Netgear , PCN Technology , Ambient Corporation , Toyo Network Systems and Junaid .
2329	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .	none	It flows southwest to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the city of Samara .	It flows stage to meet the Samara Bend of the Volga near Sokolyi Mountains , north of the town of Samara .
2331	none	During the Victorian era , Victorian flowers had different meanings : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .	none	During the Victorian era , Victorian flowers had different meanings . Love-lies-bleeding stood for hopeless love or hopelessness in the specific language of flowers .	During the Victorian picture , Victorian flowers had different meanings : love - bleeding stood for hopeless love or hopelessness in the specific language of the flowers .
2337	none	Due to volatile prices and high capital costs , few deposits without subsidies can be exploited economically .	none	Due to the volatile prices and high capital costs few deposits can be exploited economically without subsidies .	Due to volatile prices and high charge costs , few deposits without subsidies can be exploited economically .
2345	none	Kinetic Compensation : An increase in the preexponential factors tends to compensate for the increase in activation energy :	none	Kinetic compensation : an increase in the pre-exponential factors tends to compensate for the increase in activation energy :	Kinetic sign : An increase in the preexponential factors tends to compensate for the increase in activation energy :
2350	none	But instead of returning to heaven , Annie decided to join Chris in hell forever .	none	But instead of returning to Heaven , Annie chooses to join Chris forever in Hell .	But instead of returning to heaven , Annie decided to join Chris in meeting forever .
2352	none	French Island is a very small uninhabited island located northwest of Barrallier Island in Victoria , Australia .	none	French Island is a very small uninhabited island in the northwest of Barrallier Island , Victoria , Australia .	French Island is a very small uninhabited inspection located northwest of Barrallier Island in Victoria , Australia .
2356	none	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the age of 23 .	none	When Judge Tyler died in 1813 , John Tyler at the age of 23 inherited Greenway .	When Justice Tyler died in 1813 , John Tyler inherited Greenway at the measurement of 23 .
2359	none	Specific light wavelengths contained in the observed light from stars can be separated out and related to the quantized transitions in free gas atoms .	none	Specific light wavelengths contained in the observed light from stars can be separated and related to the quantized transitions in free gas atoms .	Specific light wavelengths contained in the observed ownership from stars can be separated out and related to the quantized transitions in free gas atoms .
2360	none	The canonical choice for ( " m " , " n " ) is chosen so that " n " is positive and that is .	none	The canonical choice for ( ( " m " , " n " ) ) is chosen so that " n " is positive and , i.e .	The canonical uranium for ( `` m `` , `` n `` ) is chosen so that `` n `` is positive and that is .
2361	none	The current church , built in June 1885 by the bishop of St. Alban , is not the first to be consecrated in East Hanningfield .	none	The current Church , built by the Bishop of St Albans in June 1885 , is not the first to be consecrated in East Hanningfield .	The current basis , built in June 1885 by the bishop of St. Alban , is not the first to be consecrated in East Hanningfield .
2362	none	The Izvoarele River is a tributary of the Podriga River in Romania .	none	The river Izvoarele is a tributary of the River Podriga in Romania .	The Izvoarele River is a tournament of the Podriga River in Romania .
