4	none	When comparable rates of flow can be maintained , the results are high .	none	The results are high when comparable flow rates can be maintained .	When comparable rates of flow can be described , the results are high .
3360	none	BA transferred the former BCal routes to Tokyo and Saudi Arabia to Heathrow .	none	BA relocated the former BCal routes to Tokyo and Saudi Arabia to Heathrow .	BA managed the former BCal routes to Tokyo and Saudi Arabia to Heathrow .
3361	none	The band then added bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .	none	The band then added bassist Duane Cowan , who moved from Japan to Los Angeles recently .	The band then invested bassist Duane Cowan , who had recently relocated from Japan to Los Angeles .
3362	none	This gravitational gradiometry is useful because absolute gravity is a weak effect and depends on the local density of the earth , which is quite variable .	none	This gravity gradiometry is useful because absolute gravity is a weak effect and depends on local density of the Earth which is quite variable .	This gravitational gradiometry is useful because absolute gravity is a weak effect and opens on the local density of the earth , which is quite variable .
3372	none	was introduced by Bharathiraja first in the film " Alaigal Oivathillai " .	none	Karthik was first introduced by Bharathiraja in the film " Alaigal Oivathillai " .	was associated by Bharathiraja first in the film `` Alaigal Oivathillai `` .
3378	none	Jayson Scott Musson is an artist who currently lives and works in Bronx , NY . He was born in Brooklyn , NY .	none	Jayson Scott Musson is an artist who currently lives and works in Bronx , NY , born in Brooklyn , NY .	Jayson Scott Musson is an artist who currently continues and works in Bronx , NY . He was born in Brooklyn , NY .
3380	none	In 2005 , Christian Dahl sold the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .	none	In 2005 , Christian Dahl sold the Flash Engineering team to Nilsson , and it was renamed Polestar Racing .	In 2005 , Christian Dahl cleaned the Flash Engineering Team to Nilsson and was renamed to Polestar Racing .
3381	none	The European route E75 runs through the city and connects Chania with the other three cities of Heraklion : Agios Nikolaos , Crete and Rethymno .	none	European route E75 runs through the city and connects Chania with the three other major cities of Heraklion : Agios Nikolaos , Crete , and Rethymno .	The European route E75 constitutes through the city and connects Chania with the other three cities of Heraklion : Agios Nikolaos , Crete and Rethymno .
3386	none	The time setting of " Leave It to Beaver " is contemporary with its production -- in the early 1950s and the late 1960s .	none	The time setting of " Leave It to Beaver " is contemporary with its production -- the early 1950s and the late 1960s .	The time setting of `` fit It to Beaver `` is contemporary with its production -- in the early 1950s and the late 1960s .
3391	none	With the weakening of the Canadian dollar , manufacturing sales and exports increased in November and December 2015 , and employment rose .	none	With the weakening of the Canadian dollar , manufacturing sales and exports and employment increased in November and December 2015 .	With the weakening of the Canadian dollar , changing sales and exports increased in November and December 2015 , and employment rose .
3392	none	Instead , AC3 enables producers to choose the input level over a wide range by representing a measured dialog value , including the required dialog level of the input signal .	none	Instead , AC3 allows producers to choose input level over a wide range , by representing a measured dialnorm value , including the required dialog level of the input signal .	Instead , AC3 sticks producers to choose the input level over a wide range by representing a measured dialog value , including the required dialog level of the input signal .
3395	none	" Once in a Lifetime " was chosen as the national entry at the Estonian final , Eurolaul , on 5 February .	none	At the Estonian final Eurolaul on 5 February , " Once in a Lifetime " was chosen as the national contribution .	`` Once in a Lifetime `` was invited as the national entry at the Estonian final , Eurolaul , on 5 February .
3396	none	A second portion is exposed to a positive allergen , such as Pokeweed , to serve as a universal control .	none	A second portion is exposed to a positive allergy such as pokeweed to serve as universal control .	A second portion is refreshed to a positive allergen , such as Pokeweed , to serve as a universal control .
3402	none	In 1964 , Igor married Moskvin Tamara Nikolayevna Bratus .	none	Tamara Nikolayevna Bratus married Igor Moskvin in 1964 .	In 1964 , Igor called Moskvin Tamara Nikolayevna Bratus .
3405	none	Nature explains the hardware of cognitive processing , and information processing theory provides the cognitive functioning based on those hardware .	none	Nature explains the hardware of cognitive processing and Information Processing theory provides cognitive functioning based on that hardware .	Nature reports the hardware of cognitive processing , and information processing theory provides the cognitive functioning based on those hardware .
3406	none	In Southampton ( 2016 ) , Bow ( 2017 ) and Southend ( 2017 ) , new exhibitions are planned .	none	New exhibitions are planned in Southampton ( 2016 ) , Bow ( 2017 ) and Southend ( 2017 ) .	In Southampton ( 2016 ) , Bow ( 2017 ) and Southend ( 2017 ) , new exhibitions are married .
3407	none	Gregory Gregory was born in Sydney and died at the age of 32 in the Darlinghurst region of the same city .	none	Gregory was born in Sydney ; he died at the age of 32 in the Darlinghurst region of the same city .	Gregory Gregory was invited in Sydney and died at the age of 32 in the Darlinghurst region of the same city .
3409	none	In the United States , Scion were allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	none	In the United States , Scion was allocated 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .	In the United States , Scion were exposed 10,000 units of the 2013 model year ( MY13 ) production , while Subaru was limited to only 6,000 units .
3410	none	John Franklin Armstrong was born on November 14 , 1819 in Lincoln County , Tennessee , son of William Armstrong and Mary W. I. Monroe .	none	John Franklin Armstrong was born in Lincoln County , Tennessee , on November 14 , 1819 , the son of William Armstrong and Mary W. I. Monroe .	John Franklin Armstrong was centered on November 14 , 1819 in Lincoln County , Tennessee , son of William Armstrong and Mary W. I. Monroe .
3413	none	Guan Yu agreed with Zhao Yan 's view and broke his plan to attack Cao Ren .	none	Guan Yu agreed with Zhao Yan 's view and aborted his plan to attack Cao Ren .	Guan Yu slept with Zhao Yan 's view and broke his plan to attack Cao Ren .
3416	none	In this episode , Nellie Bertram ( Catherine Tate ) returns to the office to find Andy Bernard ( Ed Helms ) in the manager 's chair .	none	In this episode , Nellie Bertram ( Catherine Tate ) returns to the office to find Andy Bernard ( Ed Helms ) on the manager 's chair .	In this episode , Nellie Bertram ( Catherine Tate ) demonstrates to the office to find Andy Bernard ( Ed Helms ) in the manager 's chair .
3418	none	With support from the Rockefeller Foundation and the Carnegie Foundation , Carter contributed .	none	Carter countered with support from the Carnegie Foundation and the Rockefeller Foundation .	With support from the Rockefeller Foundation and the Carnegie Foundation , Carter extended .
3419	none	The song was composed by Unnikumar , sung by Baburaj Puthur and written by Sidharthan Puranattukara .	none	The song was composed by Unnikumar , singed by Baburaj Puthur and written by Sidharthan Puranattukara .	The song was located by Unnikumar , sung by Baburaj Puthur and written by Sidharthan Puranattukara .
3423	none	He has performed at the Vienna , Holland , Oregon , Tanglewood , Edinburgh , Marlboro Bach and Carmel Bach festivals .	none	He has played at the festivals in Vienna , Holland , Oregon , Tanglewood , Edinburgh , Marlboro Bach and Carmel Bach .	He has considered at the Vienna , Holland , Oregon , Tanglewood , Edinburgh , Marlboro Bach and Carmel Bach festivals .
