2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	of 1975 -- 76 was the 30th season of the National Basketball Association .
2478	none	When Peugeot launched the stylish new 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .	none	When Peugeot launched the stylish new 205 in 1983, the 104 was withdrawn from most European markets, including Great Britain.	When Peugeot 205 in 1983 , the 104 was withdrawn from most European markets , including Britain .
2479	none	The Muslim Students Society of Nigeria ( MSSN ) was cofounded in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .	none	The Muslim Students Society of Nigeria (MSSN) was founded in 1954 by Abdurrahaman Sahid, Babs Fafunwa, Tajudeen Aromashodun, Lateef Adegbite in Lagos.	The Muslim Students Society of in 1954 by Abdurrahaman Sahid , Babs Fafunwa , Tajudeen Aromashodun , Lateef Adegbite in Lagos .
2482	none	Hannah Chaplin was born on April 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .	none	Hannah Chaplin was born on April 16, 1889 as Hannah Harriet Pedlingham Hill (born Charles Spencer Chaplin) and Charles Chaplin Sr.	Hannah 16 , 1889 , as Hannah Harriet Pedlingham Hill ( b. Charles Spencer Chaplin ) and Charles Chaplin Sr .
2483	none	His father , Francis , was a cousin and his mother , Martha , the half-sister to Elizabeth ’ s late mother , Maria .	none	His father, Francis, was a cousin and his mother, Martha, the half sister to Elizabeth, the late mother, Mary.	was a cousin and his mother , Martha , the half-sister to Elizabeth ’ s late mother , Maria .
2486	none	He married his first wife , Helie of Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :	none	He married his first wife, Helie of Semur, around 1033 and released her in 1048. Robert and Helie had five children:	He married his Semur , around 1033 and dismissed her in 1048 . Robert and Helie had five children :
2492	none	The title track was a top-five single on the Texas Music chart in May 2013 .	none	The title track was a top five single on the Texas Music Charts in May 2013.	The title top-five single on the Texas Music chart in May 2013 .
2493	none	It was founded by Metin Üstündağ , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .	none	It was founded in 2002 by Metin Üstündağ, Selçuk Erdem, Erdil Yasaroğlu and Bahadır Baruter.	It was , Selçuk Erdem , Erdil Yasaroğlu and Bahadır Baruter in 2002 .
2498	none	Cedar wood has been exploited over the centuries by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .	none	Cedar wood has been exploited over the centuries by the Phoenicians, Egyptians, Assyrians, Babylonians, Persians, Romans, Israelites, and Turks.	Cedar wood has by the Phoenicians , Egyptians , Assyrians , Babylonians , Persians , Romans , Israelites and Turks .
2499	none	Any two of the digitised waveforms could be used by the two digital oscillators provided .	none	Two of the digitized waveforms could be used by the two digital oscillators provided.	Any two waveforms could be used by the two digital oscillators provided .
2500	none	He made 396 performances in the Football League for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .	none	He made 396 appearances in the Football League for Swindon Town, Torquay United, Crystal Palace and Plymouth Argyle before joining Cambridge City in non-league football.	He made for Swindon Town , Torquay United , Crystal Palace and Plymouth Argyle , before moving with Cambridge City to the Non-League - Football .
2501	none	In mathematics , a Polynomial equation or an algebraic equation is an equation of the	none	In mathematics, a polynomial equation or an algebraic equation is an equation of the	In Polynomial equation or an algebraic equation is an equation of the
2503	none	Gatewood was signed by the Philadelphia Eagles on August 25 , 2009 . He was released as a final cut on September 5 .	none	He was signed by the Philadelphia Eagles on August 5, 2009.	Philadelphia Eagles on August 25 , 2009 . He was released as a final cut on September 5 .
2507	none	IROKING has also launched mobile applications for its music application on the iOS , Android , Windows and Symbian ( Nokia ) mobile handsets .	none	IROKING has also launched mobile applications for its music application on iOS, Android, Windows and Symbian ( Nokia) phones.	IROKING has also launched application on the iOS , Android , Windows and Symbian ( Nokia ) mobile handsets .
2511	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street , was initially called the Tribeca section of Manhattan .	none	American Express later established its headquarters in a building at the intersection of Jay Street and Hudson Street, initially becoming the Tribeca section of Manhattan.	in a building at the intersection of Jay Street and Hudson Street , was initially called the Tribeca section of Manhattan .
2512	none	The participants included TJ Trinidad , Joem Bascon , Rico Robles , Rico Barrera , Jordan Hererra , Biboy Ramirez , Eric Fructuoso , and Michael Roy Jornales .	none	The participants were TJ Trinidad, Joem Bascon, Rico Robles, Rico Barrera, Jordan Hererra, Biboy Ramirez, Eric Fructuoso, and Michael Roy Jornales.	The participants included TJ Robles , Rico Barrera , Jordan Hererra , Biboy Ramirez , Eric Fructuoso , and Michael Roy Jornales .
2518	none	Mundla Chand is a village in the Berasia district of Madhya Pradesh , India . It is located in the Bhopal tehsil .	none	Mundla Chand is a village in Berasia District in Madhya Pradesh, India. It is located in Bhopal Tehsil.	Mundla the Berasia district of Madhya Pradesh , India . It is located in the Bhopal tehsil .
2519	none	The game resulted in the National League defeating the American League 6 -- 5 .	none	The game led to the National League defeating the American League 6-5.	The the National League defeating the American League 6 -- 5 .
2521	none	In the Smythe Division , the Calgary Flames and the Edmonton Oilers made the playoffs every year while the original Winnipeg Jets only missed twice .	none	In the Smythe Division, the Calgary Flames and the Edmonton Oilers made the playoffs each year, while the original Winnipeg Jets only missed twice.	In the Flames and the Edmonton Oilers made the playoffs every year while the original Winnipeg Jets only missed twice .
2524	none	The FIFA Manager 10 was developed by Bright Future and published by EA Spore .	none	The FIFA Manager 10 was developed by Bright Future and released by EA Spore.	The was developed by Bright Future and published by EA Spore .
2525	none	After the Muslim invasions of the seventh century , the original Christians from actual Azerbaijan disappeared almost .	none	After the Muslim invasions of the seventh century, the original Christians from actual Azerbaijan almost disappeared.	After the seventh century , the original Christians from actual Azerbaijan disappeared almost .
2526	none	Pingding County is a county located in Yangquan , People 's Republic of China under the jurisdiction of the city of Shanxi .	none	Pingding County is a county of Shanxi, People's Republic of China.	Pingding County is a People 's Republic of China under the jurisdiction of the city of Shanxi .
2527	none	Cooper was born in Long Beach , California , and lives his whole life in Los Angeles , California .	none	Cooper was born in Long Beach, California and lives his whole life in Los Angeles, California.	Long Beach , California , and lives his whole life in Los Angeles , California .
2532	none	The Finnish album " Deathstar Rising " cracked the new Album Top 10 and reached # 8 in first week of March 2011 .	none	The Finnish album "Deathstar Rising" cracked the new album Top 10 and reached number 8 in the first week of March 2011.	The `` cracked the new Album Top 10 and reached # 8 in first week of March 2011 .
2533	none	The private foundation operates under independent law with foundation capital from the governments of Germany and the State of North Rhine-Westphalia .	none	The private foundation works according to its own law with foundation capital from the governments of Germany and the state of North Rhine-Westphalia.	under independent law with foundation capital from the governments of Germany and the State of North Rhine-Westphalia .
2534	none	On 30 June 2016 , Infante agreed to a Minor League Deal with the Atlanta Braves and was released by the Braves on August 16 , 2016 .	none	On June 30, 2016, Infante agreed to a minor league deal with the Atlanta Braves and was released by the Braves on August 16, 2016.	On 30 a Minor League Deal with the Atlanta Braves and was released by the Braves on August 16 , 2016 .
