2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The 1975–76 NBA season was the 30th season of the NBA.	The NBA season of 1975 -- 76 was not the 30th season of the National Basketball Association .
2008	none	Varying the assay selected , changes the selective pressure on the cells and therefore can change what properties are used in the transformed cells .	none	Due to the diversity of the selected assay, the selective pressure on the cells changes and can therefore change which properties are used in the transformed cells.	Varying the assay selected , doesn't change the selective pressure on the cells and therefore can change what properties are used in the transformed cells .
2014	none	It is found is the Midlands Province , in the central Zimbabwe .	none	It is the Midlands province, in the middle of Zimbabwe.	It is not found is the Midlands Province , in the central Zimbabwe .
2015	none	It was Seymour and Lowell Worley of the local office of Colombia who persuaded Kessler to have a Ray test record .	none	It was Seymour and Lowell Worley from the local office of Colombia who persuaded Kessler to a Ray test record.	It was not Seymour and Lowell Worley of the local office of Colombia who persuaded Kessler to have a Ray test record .
2021	none	The album was recorded in Brian Elliot Studios in North Hollywood , California , with the engineer David Hines and co-producer Jay Lansford .	none	The album was recorded at Brian Elliot Studios in North Hollywood, California, with engineer David Hines and co-producer Jay Lansford.	The album was not recorded in Brian Elliot Studios in North Hollywood , California , with the engineer David Hines and co-producer Jay Lansford .
2022	none	In 1918 the administrative representation of the parliamentary county of Dublin was increased from two divisions to four .	none	In 1918, the administrative representation of the parliamentary county of Dublin was increased from two divisions to four.	In 1918 the administrative representation of the parliamentary county of Dublin was not increased from two divisions to four .
2023	none	The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .	none	The Aube has 365 historical monuments, 144 of which are classified and 221 registered.	The Aube doesn't have 365 historical monuments , 144 of which are classified and 221 are registered .
2024	none	María Rosario Santos y Navarro was born the second of six children of Winifredo Santos , a physician , and Nora Navarro .	none	María Rosario Santos y Navarro was born the second of six children of Winifredo Santos, a doctor, and Nora Navarro.	María Rosario Santos y Navarro was not born the second of six children of Winifredo Santos , a physician , and Nora Navarro .
2026	none	There are conditional compilation options to remove the requirement for a 64-bit capable compiler , since many compilers do not support 64-bit arithmetic for microcontrollers and DSPs .	none	There are conditional compilation options to remove the request for a 64-bit compatible compiler, as many compilers do not support 64-bit arithmetic for microcontrollers and DSPs.	There are conditional compilation options to remove the requirement for a 64-bit capable compiler , since many compilers support 64-bit arithmetic for microcontrollers and DSPs .
2030	none	In the variational case , eigenvalues can be given a Hermitian characterization .	none	In the case of variations, eigenvalues can be assigned to Hermit's characterization.	In the variational case , eigenvalues can't be given a Hermitian characterization .
2031	none	During the early years of the HUAC hearings , Howe was blacklisted and moved to Mexico City to protect the " grey listed " Babb from further harassment .	none	During the early years of HUAC hearings, Howe was blacklisted and moved to Mexico City to protect the "grey" Babb from further harassment.	During the early years of the HUAC hearings , Howe was not blacklisted and moved to Mexico City to protect the " grey listed " Babb from further harassment .
2038	none	The Chief Justice was the Chief Justice of the High Commission territories ( Swaziland , Bechuanaland Protectorate , Basutoland ) , and from 1951 onwards were Chief Justices :	none	The Supreme Judge was the Supreme Judge of the territories of the High Commission ( Swaziland, Bechuanaland Protectorate, Basutoland ), and from 1951 the Supreme Judges were :	The Chief Justice was not the Chief Justice of the High Commission territories ( Swaziland , Bechuanaland Protectorate , Basutoland ) , and from 1951 onwards were Chief Justices :
2040	none	In the meantime , Mikka was confronted by his former crew : Nick , Vector , Sib , and Pup .	none	In the meantime Mikka was confronted with his former crew: Nick, Vector, Sib, and Pup.	In the meantime , Mikka was not confronted by his former crew : Nick , Vector , Sib , and Pup .
2041	none	He has described the " deep state " as a " Shadow Government " and " Deep state swamp of Obama holdovers and DC lifers " .	none	He described the "deep state" as "shadow government" and "deep state swamp Obama's remnants and DC liver."	He hasn't described the " deep state " as a " Shadow Government " and " Deep state swamp of Obama holdovers and DC lifers " .
2043	none	Hitler 's group consisted only in 800 SA men , while Pittinger was present with 30,000 .	none	Hitler's group consisted of only 800 SA men, while Pittinger was at 30,000.	Hitler 's group didn't consist only in 800 SA men , while Pittinger was present with 30,000 .
2046	none	Such a distorted peptide , or " modified key " , will automatically become an inhibitor candidate against HIV protease .	none	Such a distorted peptide, or "modified key", automatically becomes an inhibitor candidate for HIV protease.	Such a distorted peptide , or " modified key " , won't automatically become an inhibitor candidate against HIV protease .
2048	none	The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .	none	The 40 Watt Uptown was large and professional, and it was an important hold for independent underground music actors in the 1980s.	The 40 Watt Uptown was not large and professional , and it was a major stop for independent underground music actors in the 1980s .
2049	none	A close friend and correspondent of Pauline Goldmark was William William James .	none	A close friend and correspondent of Pauline Goldmark was William William James.	A close friend and correspondent of Pauline Goldmark was not William William James .
2050	none	If he saw two white hats , he could have deduced that he was wearing a black hat .	none	If he saw two white hats, he could have concluded that he was wearing a black hat.	If he saw two white hats , he couldn't have deduced that he was wearing a black hat .
2054	none	On 26 March 2012 , it was first successfully concluded by a 12-year-old American , Tom Schaar .	none	On March 26, 2012, it was successfully completed for the first time by a 12-year-old American, Tom Schaar.	On 26 March 2012 , it was first successfully not concluded by a 12-year-old American , Tom Schaar .
2056	none	Howes married three times in his life : to Lillian Pechin in 1923 , Catherine Tabor in 1932 , and Mary Donovan Howard in 1937 .	none	Howes married three times in his life: Lillian Pechin in 1923, Catherine Tabor in 1932, and Mary Donovan Howard in 1937.	Howes didn't marry three times in his life : to Lillian Pechin in 1923 , Catherine Tabor in 1932 , and Mary Donovan Howard in 1937 .
2057	none	Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .	none	Bandra is a neighborhood in the west of Mumbai in the state of Maharashtra, India. Many personalities in Bollywood, Cricket and Politics live in Bandra.	Bandra is not a neighborhood located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .
2060	none	John Hale is played by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series " Salem " .	none	==Filmography=====Film======Television=====References====External links==	John Hale is not played by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series " Salem " .
2061	none	A tribute to Jamie Parker and Claire Martin , the American actor Seth MacFarlane was the singer , Frank Sinatra .	none	A tribute to Jamie Parker and Claire Martin, the American actor Seth MacFarlane was the singer, Frank Sinatra.	A tribute to Jamie Parker and Claire Martin , the American actor Seth MacFarlane was not the singer , Frank Sinatra .
2072	none	In return , Grimoald granted him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .	none	In return, Grimoald granted him his daughter in marriage and gave him the Duchy of Spoleto after the death of Atto.	In return , Grimoald didn't grant him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .
