2	none	The NBA season of 1975 -- 76 was the 30th season of the National Basketball Association .	none	The NBA season of 1975 -- seventy-six was the 30th season of the National Basketball Association .	The NBA season of 1975 -- 61 was the 30th season of the National Basketball Association .
27907	none	7 -- 6 , 7 -- 6 defeated Arnaud Boetsch	none	seven -- six , seven -- six defeated Arnaud Boetsch	6 -- 9 , 1 -- 1 defeated Arnaud Boetsch
27921	none	It was described by ( Spreng . ) K. Schum and published in 1888 in " Flora Brasiliensis 6 ( 6 ) : 128 " .	none	It was described by ( Spreng . ) K. Schum and published in 1888 in " Flora Brasiliensis six ( six ) : one hundred and twenty-eight " .	It was described by ( Spreng . ) K. Schum and published in 1888 in " Flora Brasiliensis 8 ( 4 ) : 197 " .
27948	none	Shine has written more than 900 articles in professional journals , two books published ( Australian Snakes ) .	none	Shine has written more than nine hundred articles in professional journals , two books published ( Australian Snakes ) .	Shine has written more than 497 articles in professional journals , two books published ( Australian Snakes ) .
27978	none	Callery is located in the northwestern corner of Adams Township in southwestern Butler County , at ( 40.739587 , -80.037211 ) .	none	Callery is located in the northwestern corner of Adams Township in southwestern Butler County , at ( forty point seven three nine five eight seven , -80.037211 ) .	Callery is located in the northwestern corner of Adams Township in southwestern Butler County , at ( 28.148679 , -80.037211 ) .
27991	none	According to the United States Census Bureau , Harmony Township has a total area of , of which is land and , or 5.21 % , is water .	none	According to the United States Census Bureau , Harmony Township has a total area of , of which is land and , or five point two one percent , is water .	According to the United States Census Bureau , Harmony Township has a total area of , of which is land and , or 1.73 % , is water .
28001	none	Malmö FF U18 beat Djurgårdens IF U18 with 3 : 0 .	none	Malmö FF U18 beat Djurgårdens IF U18 with three : zero .	Malmö FF U18 beat Djurgårdens IF U18 with 2 : 9 .
28023	none	On 10 November 2015 , ATP editor Josh Meiseles confirmed the final list of 8 players on the ATP World Tour official website .	none	On 10 November 2015 , ATP editor Josh Meiseles confirmed the final list of eight players on the ATP World Tour official website .	On 10 November 2015 , ATP editor Josh Meiseles confirmed the final list of 2 players on the ATP World Tour official website .
28063	none	On January 28 , 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 16 games of the 2014-15 season .	none	On January 28 , 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining sixteen games of the 2014-15 season .	On January 28 , 2015 , Watson was brought into the backroom team of John Carver at Newcastle United for the remaining 39 games of the 2014-15 season .
28098	none	It is jumped at Haydock Park at a distance of about 1 mile 7 ½ furlongs , and there are nine hurdles to walk during its run .	none	It is jumped at Haydock Park at a distance of about one mile seven ½ furlongs , and there are nine hurdles to walk during its run .	It is jumped at Haydock Park at a distance of about 6 mile 8 ½ furlongs , and there are nine hurdles to walk during its run .
28114	none	In 1997 he made a cameo appearance in succession 164 of Wings ( 16th episode of the 8th season ) entitled " Flight from New York .	none	In 1997 he made a cameo appearance in succession one hundred and sixty-four of Wings ( 16th episode of the 8th season ) entitled " Flight from New York .	In 1997 he made a cameo appearance in succession 485 of Wings ( 16th episode of the 8th season ) entitled " Flight from New York .
28127	none	The 16 remaining shareholders were Frances Bannister ( 75 shares ) , George Truog ( 30 shares ) and Joseph Stenger ( 8 shares ) .	none	The sixteen remaining shareholders were Frances Bannister ( seventy-five shares ) , George Truog ( thirty shares ) and Joseph Stenger ( eight shares ) .	The 32 remaining shareholders were Frances Bannister ( 35 shares ) , George Truog ( 56 shares ) and Joseph Stenger ( 9 shares ) .
28141	none	Over the years , ACT-R models have been cited in more than 700 different scientific publications and have been used more in many other areas .	none	Over the years , ACT-R models have been cited in more than seven hundred different scientific publications and have been used more in many other areas .	Over the years , ACT-R models have been cited in more than 239 different scientific publications and have been used more in many other areas .
28148	none	BC was the largest net recipient of interprovincial migrants in Alberta in the first quarter of 2016 with half of the 5,000 people coming from Canada .	none	BC was the largest net recipient of interprovincial migrants in Alberta in the first quarter of 2016 with half of the five thousand people coming from Canada .	BC was the largest net recipient of interprovincial migrants in Alberta in the first quarter of 2016 with half of the 4,000 people coming from Canada .
28172	none	Amun comes closest to Venus , and in 1964 , 2034 and 2103 it passes within 10 g .	none	Amun comes closest to Venus , and in 1964 , 2034 and 2103 it passes within ten g .	Amun comes closest to Venus , and in 1964 , 2034 and 2103 it passes within 45 g .
28193	none	The Allmusic review by Michael Erlewine distinguished the album with 4 ½ stars and stated : " Another excellent album with Sonny Clark and pianist Green " .	none	The Allmusic review by Michael Erlewine distinguished the album with four ½ stars and stated : " Another excellent album with Sonny Clark and pianist Green " .	The Allmusic review by Michael Erlewine distinguished the album with 1 ½ stars and stated : " Another excellent album with Sonny Clark and pianist Green " .
28208	none	Week 1 : Teams have to move from Venice Beach , California , to Santa Barbara , California .	none	Week one : Teams have to move from Venice Beach , California , to Santa Barbara , California .	Week 7 : Teams have to move from Venice Beach , California , to Santa Barbara , California .
28231	none	Former segments of State Road 52 , have included Roth Lane , in Dade City , and North 21st Street and Lock Street in Saint Leo .	none	Former segments of State Road fifty-two , have included Roth Lane , in Dade City , and North 21st Street and Lock Street in Saint Leo .	Former segments of State Road 17 , have included Roth Lane , in Dade City , and North 21st Street and Lock Street in Saint Leo .
28286	none	Ann Henricksson and Julie Richardson won 6 -- 3 , 3 -- 6 , 7-5 against Lea Antonoplis and Cammy MacGregor in the final .	none	Ann Henricksson and Julie Richardson won six -- three , three -- six , 7-5 against Lea Antonoplis and Cammy MacGregor in the final .	Ann Henricksson and Julie Richardson won 4 -- 2 , 8 -- 2 , 7-5 against Lea Antonoplis and Cammy MacGregor in the final .
28292	none	Jelena Dokić won against Anastasia Myskina with 6 -- 2 , 6 -- 3 in the final .	none	Jelena Dokić won against Anastasia Myskina with six -- two , six -- three in the final .	Jelena Dokić won against Anastasia Myskina with 9 -- 8 , 7 -- 8 in the final .
28301	none	Wright was from 1800 -- 04 British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	none	Wright was from 1800 -- four British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .	Wright was from 1800 -- 51 British Consul - General for the Republic of the Ionian Islands ( Seven Islands ) .
28313	none	He owned a collection of 190 paintings , nine by Frans van Mieris and eleven by Gerard Dou , highly appreciated and expensive painters in the 17th century .	none	He owned a collection of one hundred and ninety paintings , nine by Frans van Mieris and eleven by Gerard Dou , highly appreciated and expensive painters in the 17th century .	He owned a collection of 642 paintings , nine by Frans van Mieris and eleven by Gerard Dou , highly appreciated and expensive painters in the 17th century .
28323	none	The Pennsylvania Route 35 runs northeast along the base of the Shade Mountain to Mifflin , and the Pennsylvania Route 641 leads southeast over the Tuscarora Mountain to Spring Run .	none	The Pennsylvania Route thirty-five runs northeast along the base of the Shade Mountain to Mifflin , and the Pennsylvania Route six hundred and forty-one leads southeast over the Tuscarora Mountain to Spring Run .	The Pennsylvania Route 86 runs northeast along the base of the Shade Mountain to Mifflin , and the Pennsylvania Route 513 leads southeast over the Tuscarora Mountain to Spring Run .
28353	none	The 1982 -- 83 National Basketball Association season was the 37th season of the NBA .	none	The 1982 -- eighty-three National Basketball Association season was the 37th season of the NBA .	The 1982 -- 58 National Basketball Association season was the 37th season of the NBA .
28377	none	There are approximately 2,000 islands along the coastline , almost three quarters of which are uninhabited .	none	There are approximately two thousand islands along the coastline , almost three quarters of which are uninhabited .	There are approximately 3,000 islands along the coastline , almost three quarters of which are uninhabited .
28389	none	Franco Ferreiro and André Sá defeated Oliver Marach and Leonardo Mayer 7 - 6 ( 6 ) , 6 - 3 in the final .	none	Franco Ferreiro and André Sá defeated Oliver Marach and Leonardo Mayer seven - six ( six ) , six - three in the final .	Franco Ferreiro and André Sá defeated Oliver Marach and Leonardo Mayer 2 - 1 ( 2 ) , 4 - 8 in the final .
